5,4,2,1,6,4,7,15,0,8,13,1,3,3,4,7,3,3,3,2,9,8,3,16,5,1,4,11,10,30,3,11,4,6,2,8,4,7,3,1,12,6,4,4,6,1,2,3,14,3,5,12,2,7,28,11,7,2,4,5,8,5,12,9,12,3,6,5,7,7,12,2,3,3,2,6,8,8,5,1,4,4,3,15,8,6,3,4,1,4,17,5,4,10,16,11,3,6,7,3,7,5,8,20,5,26,20,6,3,10,4,3,12,12,2,4,6,20,6,10,7,13,4,7,6,16,24,14,10,7,7,12,10,6,6,8,8,5,8,4,13,3,4,7,7,6,5,2,7,7
6,5,2,1,5,2,5,12,0,5,7,0,3,3,2,6,3,3,3,2,10,12,3,6,8,1,6,12,10,27,4,12,6,5,3,8,2,5,5,3,6,5,7,4,7,2,3,3,10,3,4,8,4,6,26,11,6,2,4,7,9,4,8,9,12,1,8,7,6,7,14,2,3,3,2,5,15,8,6,2,4,4,3,9,11,6,3,4,2,6,10,5,4,8,15,11,4,5,6,4,6,4,8,17,3,25,14,8,3,9,2,3,10,12,1,6,4,17,6,7,5,9,4,10,6,11,20,20,11,9,9,10,15,5,3,8,6,5,8,3,8,2,4,5,6,6,5,1,6,8
6,4,2,2,7,2,4,9,1,3,7,0,4,4,2,4,1,4,2,1,7,10,3,8,7,0,6,10,7,22,2,9,3,6,2,6,2,5,3,2,7,5,6,6,5,0,2,3,7,3,3,9,3,4,16,11,5,1,3,5,7,4,9,4,8,2,7,7,7,9,14,3,3,4,2,5,9,10,3,4,4,4,4,11,5,5,5,3,1,3,9,4,3,8,14,7,1,4,5,4,6,8,8,11,5,19,15,7,3,6,1,2,9,12,2,6,4,11,5,4,6,13,5,14,6,7,18,11,14,7,7,8,9,4,4,6,5,6,8,4,5,2,5,5,6,4,5,2,6,7
5,5,2,2,4,1,4,9,1,3,5,0,2,3,2,2,2,6,1,3,4,8,3,4,7,1,6,8,7,21,4,6,3,2,2,4,4,4,3,2,8,4,6,6,3,1,2,3,4,2,5,5,4,2,13,7,5,2,1,3,7,2,7,4,7,2,8,4,7,8,12,2,3,4,2,4,12,7,3,2,3,2,4,9,5,4,4,4,1,5,6,5,3,8,11,7,0,5,4,5,3,4,7,7,4,14,11,6,4,4,1,2,10,11,2,6,4,8,7,3,7,11,6,16,8,5,19,8,12,7,6,4,7,4,4,5,3,5,6,4,5,2,4,6,5,5,5,2,4,5
4,2,2,1,4,1,3,6,1,1,2,0,3,3,2,3,1,2,0,2,1,3,2,2,7,1,3,7,4,12,2,4,4,3,1,3,3,4,3,1,4,3,5,5,3,1,4,3,3,2,4,3,2,1,8,5,5,3,1,2,4,2,3,4,6,1,5,3,6,8,12,3,2,2,3,2,6,3,3,2,5,3,5,4,3,1,7,3,0,3,3,2,3,10,11,7,0,5,3,3,1,5,4,5,2,7,4,6,5,3,2,2,9,10,1,3,4,8,6,4,7,10,5,11,4,3,15,5,13,3,5,3,4,2,3,5,4,4,5,3,3,2,5,4,6,6,5,3,3,5
2,2,1,0,3,1,4,5,0,1,2,1,1,3,1,2,1,2,0,1,1,1,1,2,4,1,2,7,0,8,1,2,2,2,2,2,3,5,4,0,3,3,3,3,3,0,1,2,2,2,3,2,2,2,7,3,2,3,1,2,3,2,3,4,4,0,2,1,4,9,9,1,2,3,2,1,5,2,4,2,3,2,5,2,3,2,2,3,1,2,3,2,2,7,8,3,1,3,2,2,3,3,2,3,2,4,2,3,3,2,1,1,7,10,2,4,4,5,5,3,6,7,3,10,2,3,12,3,12,3,2,3,2,2,2,3,4,3,2,3,2,0,2,4,4,2,3,1,2,2
3,2,0,0,1,1,2,4,0,2,2,1,1,2,1,1,1,1,0,1,1,0,0,2,2,0,2,3,0,4,0,0,1,2,2,2,1,3,2,0,1,3,3,3,2,0,1,1,1,1,3,1,0,1,8,2,2,1,0,2,1,1,2,4,4,0,1,1,3,6,6,1,2,1,1,1,4,2,2,1,2,1,2,1,2,1,1,2,1,1,2,0,2,6,4,1,0,1,1,1,1,1,1,2,1,2,1,3,2,1,1,1,3,8,1,3,2,3,2,2,4,5,1,5,2,2,5,1,9,2,1,1,2,2,1,2,2,4,1,1,1,0,2,2,1,3,2,1,3,1
2,1,0,0,0,0,0,3,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,2,0,1,3,0,4,1,0,0,2,1,3,0,1,0,0,2,2,4,3,1,0,1,0,1,1,2,1,1,1,5,0,2,1,0,0,0,0,2,1,1,1,2,0,1,4,3,1,1,0,1,0,3,1,1,1,1,0,1,2,2,1,1,0,0,1,0,0,0,2,3,1,0,0,1,1,2,2,1,1,0,1,0,2,2,0,0,1,2,5,1,2,1,2,2,0,2,2,1,3,2,2,5,2,5,2,1,0,1,0,2,1,1,2,1,2,0,0,0,2,2,2,1,0,2,0
2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,1,0,1,0,2,1,0,0,0,1,2,1,1,1,0,0,0,3,1,2,1,1,0,0,0,1,0,0,1,3,0,1,0,1,0,0,1,2,1,1,0,1,0,1,2,2,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,2,0,0,0,0,0,0,2,2,0,0,1,0,1,0,2,1,0,1,0,0,1,1,0,1,0,2,4,0,1,0,3,2,0,3,1,1,2,2,1,8,2,5,1,0,1,0,0,1,1,1,1,1,0,0,0,0,2,1,1,1,0,1,0
0,2,0,0,0,0,0,1,0,2,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,2,0,2,0,0,1,2,1,1,0,1,0,0,0,1,1,1,2,0,1,0,1,0,1,0,0,2,3,0,0,0,0,0,0,1,1,1,2,0,1,0,1,1,2,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,2,1,1,0,1,1,2,0,2,0,0,0,0,0,1,2,0,0,0,3,4,0,2,1,3,1,0,3,2,2,2,1,1,6,0,7,1,1,0,1,1,0,1,0,0,0,0,0,0,0,2,2,2,1,1,1,1
0,1,1,0,0,1,1,2,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,2,0,0,2,0,3,0,0,0,1,0,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,1,1,1,1,2,1,0,0,1,0,1,0,1,1,3,0,1,1,1,2,3,1,1,3,1,1,3,0,1,0,1,0,1,1,1,0,1,0,0,1,2,1,1,4,3,2,0,1,1,1,1,2,0,1,0,1,1,1,1,0,1,1,2,3,0,2,1,3,1,0,3,3,2,4,0,1,7,1,7,0,1,1,2,1,1,1,0,1,1,1,1,0,0,4,2,1,3,0,1,0
2,2,2,0,1,1,1,2,0,3,1,0,0,2,3,1,1,1,0,1,0,1,1,4,3,0,0,4,2,7,1,1,1,2,0,4,1,2,1,1,3,1,1,1,4,0,0,1,3,0,0,4,1,0,3,1,1,0,2,1,3,1,2,1,7,0,1,1,3,5,6,1,3,3,2,3,5,3,1,1,2,1,1,4,3,2,2,2,2,2,5,2,1,5,6,2,1,2,2,2,1,3,2,3,1,8,1,2,1,0,1,3,5,4,0,4,2,6,2,2,2,7,2,5,1,3,10,4,10,2,2,2,7,1,1,2,0,1,2,1,3,1,5,3,4,2,3,1,4,2
7,10,1,1,3,3,2,3,0,14,7,0,4,3,14,8,6,2,0,3,2,5,2,24,4,0,2,7,10,22,2,2,0,7,0,10,1,4,2,1,7,3,2,3,16,0,2,2,8,3,2,13,1,1,12,3,4,2,3,4,8,4,9,3,17,2,6,4,6,7,8,1,2,2,2,2,14,16,3,2,5,5,4,23,15,5,3,5,2,5,8,5,3,11,18,5,6,2,3,3,6,5,8,19,3,38,5,6,2,2,1,3,8,6,1,5,3,14,9,8,4,7,6,9,1,8,12,12,12,5,7,3,11,7,4,5,3,5,4,4,5,2,6,9,10,5,4,2,7,8
10,11,2,3,4,5,6,7,0,22,8,1,7,6,24,10,9,5,1,5,3,11,7,30,6,1,3,11,12,40,3,2,1,15,2,13,3,7,4,1,9,6,5,5,30,1,3,2,10,2,5,16,3,5,18,8,5,2,6,7,9,5,19,7,20,5,5,5,6,7,11,5,2,4,4,4,15,16,6,7,3,2,5,30,17,7,5,2,2,3,12,5,2,14,35,10,10,2,7,5,6,7,11,31,4,37,10,7,4,2,2,5,8,7,1,5,4,14,10,7,6,12,11,8,4,9,11,11,8,4,9,6,14,8,2,8,4,2,7,3,7,1,9,10,9,4,3,2,8,15
12,14,1,0,3,4,6,9,0,27,10,2,9,5,24,13,10,5,2,4,4,11,4,14,7,2,7,11,11,27,3,4,3,9,1,14,3,8,2,1,10,5,3,6,35,1,1,2,11,1,3,12,3,9,19,11,7,2,7,5,8,6,12,11,19,2,3,5,4,4,12,3,2,3,3,5,14,11,6,6,2,1,3,13,10,7,6,4,2,2,14,3,4,12,22,7,15,5,8,4,5,7,11,21,3,22,12,9,4,5,2,3,3,5,2,4,3,11,8,8,8,7,10,8,2,9,11,12,8,6,12,5,13,6,4,8,3,4,6,2,4,2,6,6,11,4,2,1,7,10
11,14,4,2,4,3,3,12,0,26,7,2,10,6,22,13,12,6,3,4,6,12,2,12,5,1,7,8,10,24,6,3,6,11,2,14,2,10,3,1,11,5,5,9,38,0,2,2,11,2,3,9,4,7,20,15,6,3,10,7,4,6,12,8,22,3,5,4,5,5,10,4,2,1,3,8,12,10,7,6,1,0,4,16,9,7,4,4,1,3,13,2,3,11,20,8,16,4,10,2,5,6,11,18,3,25,17,9,4,6,2,3,6,8,1,4,5,16,8,4,8,9,9,7,4,9,9,10,8,6,11,6,14,6,3,5,4,4,8,2,9,2,6,5,12,5,3,1,5,10
15,16,2,1,4,4,5,13,0,24,7,3,9,7,20,16,13,5,2,3,6,15,3,7,7,1,5,9,9,24,7,2,6,11,3,15,4,8,3,3,5,4,5,11,41,0,1,3,10,2,4,11,3,9,19,9,10,3,11,8,7,7,17,9,17,1,4,7,6,4,10,1,1,1,3,5,13,11,7,5,2,2,2,11,7,8,4,3,0,3,14,3,4,11,19,13,10,3,7,2,7,8,14,26,3,21,15,8,4,5,5,3,7,6,1,4,4,15,8,4,7,7,10,6,2,11,11,11,9,7,10,10,10,6,3,6,3,6,6,2,5,2,5,5,14,6,3,2,4,11
12,17,3,1,7,5,4,18,0,18,7,3,10,6,16,12,12,5,2,4,8,18,3,7,7,1,3,11,9,20,8,5,7,15,5,13,6,10,1,2,6,5,5,11,32,1,1,2,9,2,4,7,4,13,24,10,7,3,10,5,8,7,17,8,18,2,4,6,6,4,9,3,2,3,3,5,11,11,7,8,1,2,4,10,6,5,2,3,2,3,18,4,5,11,26,10,5,7,6,3,7,6,12,22,2,20,19,7,4,6,2,2,7,6,1,3,6,14,6,4,6,9,10,8,5,8,10,8,9,6,13,9,14,6,2,9,3,5,9,2,7,1,7,5,16,7,3,2,7,14
10,14,1,1,5,3,3,16,0,21,9,2,5,5,19,15,10,4,2,5,10,14,3,11,5,1,4,7,10,25,4,5,4,14,5,9,5,8,4,1,5,4,5,11,31,0,2,1,10,1,3,5,5,9,18,13,6,3,8,5,7,4,13,9,16,2,6,4,5,5,9,3,3,2,4,5,9,12,6,5,3,2,2,9,7,7,2,3,2,2,23,4,5,8,26,9,5,4,7,3,7,7,11,24,3,19,19,9,4,7,2,4,4,5,1,2,3,19,10,3,8,9,8,8,6,9,10,10,9,7,9,8,11,6,1,7,5,6,7,2,8,1,5,7,16,5,2,1,5,13
7,13,2,1,2,4,5,13,0,18,8,1,3,5,21,16,9,5,3,4,12,10,3,10,5,1,5,13,11,26,7,5,3,13,6,13,4,12,2,1,7,4,4,13,35,0,2,1,16,1,4,6,5,8,22,12,5,4,10,5,3,6,15,8,13,3,4,5,9,4,11,2,1,1,3,3,11,11,8,7,2,2,2,12,7,8,2,2,1,3,17,5,4,9,24,7,7,5,7,3,5,6,14,23,5,21,19,7,6,5,2,4,7,5,2,3,4,15,9,6,8,8,7,7,5,10,10,12,12,5,8,9,10,3,2,8,7,4,7,2,7,1,6,6,12,4,0,1,3,15
9,16,3,1,5,5,5,11,0,19,7,2,6,3,21,14,7,5,2,2,12,13,3,13,5,1,6,11,11,27,5,5,8,11,3,15,6,9,3,2,6,4,7,10,38,1,1,2,14,2,2,10,5,8,18,12,8,3,8,6,7,7,14,9,16,3,3,6,7,4,13,2,1,2,2,4,10,12,8,5,2,2,3,12,8,7,2,4,1,4,23,5,5,9,23,8,6,3,10,3,5,7,14,21,3,28,22,7,6,6,4,2,8,7,1,4,5,18,8,6,6,8,8,9,3,15,9,13,12,9,11,8,16,2,1,6,5,5,7,1,7,0,4,6,13,5,3,1,3,12
8,15,1,1,4,5,5,13,0,16,13,2,7,6,12,12,11,3,1,4,14,13,7,11,4,2,5,9,13,29,5,5,6,9,2,11,6,5,5,3,8,5,6,10,40,0,1,2,15,3,4,15,4,7,23,12,6,4,7,4,9,8,13,11,22,2,8,7,7,6,12,2,1,2,1,5,13,13,6,6,1,3,4,16,7,6,2,4,0,3,30,4,7,12,28,11,2,4,5,4,7,6,15,30,4,26,22,7,4,5,4,3,7,10,2,4,5,19,8,7,4,11,7,9,6,18,13,18,7,9,12,7,16,4,1,13,3,3,7,2,7,2,4,5,13,3,4,1,5,13
9,9,3,1,5,3,5,18,0,10,10,2,7,4,4,21,6,2,1,5,21,11,8,14,10,2,7,10,19,32,7,6,4,10,3,7,7,9,5,3,7,2,6,11,22,1,2,2,16,2,4,20,6,10,37,15,10,6,7,7,18,6,19,13,20,2,6,6,5,5,12,4,1,2,4,7,13,18,11,6,3,3,4,21,12,6,1,4,1,4,20,6,4,15,28,12,2,3,8,4,7,7,17,41,5,43,22,8,6,6,2,4,9,12,1,2,8,35,8,7,7,12,6,10,5,27,17,13,13,10,16,7,14,5,2,18,6,3,7,3,12,2,3,6,14,6,5,3,6,12
6,5,2,2,6,3,6,15,1,6,9,1,3,3,2,26,3,2,3,3,20,13,8,15,9,1,9,9,20,28,5,7,4,8,2,7,7,6,5,1,7,4,4,11,7,2,1,4,11,2,6,23,5,9,44,20,12,2,5,7,23,7,13,13,22,5,9,4,8,6,11,3,2,2,4,7,12,17,6,2,6,2,4,26,13,5,5,3,2,7,12,9,3,13,28,10,1,4,4,4,8,8,19,43,5,36,23,7,6,9,2,3,13,14,1,5,6,33,9,10,6,16,6,12,7,23,14,17,14,11,14,10,14,3,2,22,7,4,10,3,11,3,3,6,10,4,6,2,9,8
6,4,2,1,9,3,4,16,1,4,9,2,2,4,1,15,5,2,1,2,9,13,5,10,5,1,6,8,7,24,4,5,4,6,2,7,4,7,3,0,7,6,4,9,5,1,1,3,13,3,7,14,3,7,30,16,9,3,2,5,9,7,13,11,13,2,6,6,7,6,8,2,3,3,2,6,8,10,5,2,6,3,5,14,8,5,3,3,2,5,11,7,5,10,18,10,1,4,5,4,10,7,13,29,4,19,18,6,6,7,4,3,10,13,1,4,6,20,5,9,6,12,3,10,7,16,16,14,14,8,10,9,9,3,4,13,9,5,10,4,8,1,3,7,7,3,7,1,7,7
6,5,4,1,5,3,4,11,1,6,12,1,2,2,1,12,3,3,1,1,8,13,4,10,8,2,5,7,8,29,4,5,6,5,2,8,4,4,5,1,9,5,7,6,6,2,2,4,9,2,4,6,4,6,20,15,7,2,3,6,8,6,11,10,12,4,6,6,7,4,12,2,4,4,3,6,15,11,3,3,4,4,5,13,10,6,5,4,2,5,10,4,4,8,20,11,2,3,6,5,7,7,10,25,2,19,17,4,4,6,2,2,12,13,2,6,5,17,4,8,4,9,5,10,6,11,17,14,15,7,9,10,11,6,5,8,5,5,8,5,7,3,3,7,7,7,5,1,7,7
4,4,2,2,7,3,5,8,2,5,7,1,3,4,2,7,1,3,0,1,9,11,3,6,7,1,5,7,6,22,5,6,3,6,3,6,4,7,3,1,7,5,4,7,5,1,3,4,10,1,3,3,3,4,21,14,6,3,4,3,7,4,11,8,8,3,5,4,7,4,14,3,2,4,4,4,11,6,3,2,5,5,6,10,6,2,5,3,1,4,7,4,5,8,15,7,2,3,5,4,8,8,6,27,2,15,12,4,6,3,1,2,12,11,3,6,5,11,6,6,6,11,6,11,5,7,16,14,18,7,5,8,12,4,3,7,5,5,8,6,7,2,4,6,6,5,6,1,6,6
4,2,3,1,4,2,5,9,1,2,7,1,2,5,1,3,2,2,0,1,6,8,3,4,11,1,5,8,5,21,6,4,3,2,4,4,4,6,5,2,8,4,7,6,3,1,5,3,7,1,6,4,4,2,12,7,3,4,2,2,5,2,7,8,6,2,3,3,7,7,14,2,5,4,2,2,12,6,5,2,5,2,6,7,6,4,6,4,0,3,7,4,5,8,12,7,0,5,4,4,7,4,6,15,2,11,10,5,2,5,2,3,11,11,2,7,5,8,4,5,7,13,7,13,5,5,16,9,15,7,5,4,9,4,5,8,3,7,6,7,6,2,3,8,8,6,4,0,5,6
3,1,2,1,3,1,3,6,0,1,5,1,2,2,1,1,1,3,0,0,1,4,2,2,9,2,4,12,2,12,3,1,4,3,3,2,3,4,4,1,4,3,6,5,3,1,3,2,5,2,6,4,2,2,9,3,5,3,1,1,3,2,6,6,5,1,2,1,6,10,10,1,4,5,3,1,6,2,5,2,2,3,5,3,4,2,6,3,1,3,4,4,2,10,10,3,0,5,2,3,3,5,4,6,1,8,4,6,3,3,1,2,9,10,2,5,3,8,6,4,7,8,4,11,5,3,14,7,13,4,3,3,3,2,4,4,4,5,6,6,4,2,1,5,4,4,4,2,5,6
2,2,1,0,3,1,4,5,0,1,2,1,1,3,1,2,1,2,0,1,1,1,1,2,4,1,2,7,0,8,1,2,2,2,2,2,3,5,4,0,3,3,3,3,3,0,1,2,2,2,3,2,2,2,7,3,2,3,1,2,3,2,3,4,4,0,2,1,4,9,9,1,2,3,2,1,5,2,4,2,3,2,5,2,3,2,2,3,1,2,3,2,2,7,8,3,1,3,2,2,3,3,2,3,2,4,2,3,3,2,1,1,7,10,2,4,4,5,5,3,6,7,3,10,2,3,12,3,12,3,2,3,2,2,2,3,4,3,2,3,2,0,2,4,4,2,3,1,2,2
3,2,1,0,1,1,2,4,0,2,3,1,1,2,1,1,1,1,0,1,1,1,0,2,2,0,2,3,0,4,0,2,2,1,2,3,1,2,2,1,2,2,3,1,1,0,1,0,2,2,2,1,0,1,8,2,2,1,0,2,1,1,3,3,4,0,1,1,3,6,6,1,1,2,1,1,4,2,2,2,2,1,2,1,2,1,1,1,1,1,2,2,2,4,4,2,1,1,1,1,1,2,1,2,1,2,1,2,3,2,1,1,5,6,2,3,2,3,2,1,5,4,1,5,2,2,7,1,9,2,2,1,2,1,2,2,2,2,2,1,1,0,1,2,1,3,3,1,3,1
2,3,1,0,1,0,3,1,0,1,0,0,2,2,0,1,0,1,0,0,1,1,0,2,2,0,2,3,0,3,1,0,1,0,1,3,0,2,1,0,2,0,2,3,0,0,1,1,1,1,1,1,0,1,5,0,2,1,0,0,0,0,1,1,1,0,1,1,1,3,3,2,2,1,0,0,3,1,1,1,1,1,2,1,1,0,1,1,1,1,0,0,0,2,3,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,5,4,0,2,0,2,2,0,2,4,2,5,1,1,8,1,8,2,2,0,0,0,1,0,2,2,1,2,0,0,0,2,2,2,3,0,2,1
1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,4,1,0,1,1,1,1,1,1,1,0,1,0,1,2,0,1,2,1,1,1,1,0,0,1,5,0,1,1,1,0,0,1,3,1,1,0,1,0,1,3,3,1,1,1,0,1,1,2,0,1,0,1,2,1,1,0,2,0,0,0,0,0,0,2,3,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,3,3,0,0,1,3,1,0,1,3,1,4,1,1,7,1,6,1,1,0,0,0,0,1,1,2,0,0,0,0,0,3,1,1,2,0,1,1
1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,2,0,2,0,0,0,0,1,1,1,1,0,0,1,1,0,2,0,0,1,0,2,1,2,1,0,0,3,0,1,0,0,0,0,1,2,1,2,0,1,1,0,3,3,0,1,1,1,1,1,2,1,0,0,1,2,1,1,0,2,0,0,1,1,0,0,3,2,1,0,0,1,2,0,0,0,0,1,0,0,1,2,0,0,0,3,4,0,1,1,1,1,1,2,2,1,3,0,1,5,1,5,1,1,0,0,0,0,0,1,1,1,0,0,0,1,4,2,2,2,0,1,1
1,0,0,0,0,1,1,2,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,2,0,3,0,0,1,1,0,2,1,0,0,0,1,0,1,1,0,0,1,0,2,0,0,0,0,1,3,1,1,0,1,0,1,0,1,1,3,0,1,0,1,3,3,1,1,2,0,1,3,1,0,0,0,0,2,1,0,0,0,0,1,1,1,0,0,3,2,2,0,0,1,1,1,0,1,1,0,2,0,1,1,1,1,1,3,3,0,0,1,2,0,1,2,3,1,3,1,2,6,1,5,0,1,1,1,0,1,1,0,1,1,1,1,1,1,2,2,3,2,1,0,0
1,1,2,1,1,2,0,2,0,2,2,0,2,0,0,1,1,2,0,0,0,1,1,2,4,0,3,3,1,7,0,0,1,2,1,6,1,1,1,1,1,2,2,1,0,0,1,0,4,1,1,2,0,1,6,1,1,1,1,1,1,1,3,1,6,1,4,1,4,3,6,1,1,3,1,2,4,4,2,1,1,1,3,4,2,3,2,1,0,1,5,2,1,6,5,2,0,1,2,2,2,3,2,3,1,7,2,1,1,1,1,3,6,4,0,1,2,8,2,2,4,7,2,6,2,5,7,7,8,2,4,2,4,2,2,2,2,2,2,2,2,2,6,5,4,2,3,2,3,3
3,9,1,1,1,4,1,3,0,7,16,0,3,4,3,8,6,4,0,1,2,3,0,28,5,0,4,7,4,27,6,6,0,7,2,12,2,2,2,2,4,1,3,4,3,0,2,2,11,1,4,13,3,1,14,3,4,3,2,6,5,2,5,3,20,3,16,5,7,5,8,1,1,2,2,2,8,15,4,0,3,3,4,15,14,12,4,2,2,4,20,6,6,13,13,5,7,1,11,3,2,5,7,15,1,29,7,4,2,6,3,3,9,6,1,6,4,30,9,5,6,7,6,9,4,18,10,15,13,8,9,2,13,10,3,7,7,3,4,3,3,1,6,7,7,5,4,3,6,4
7,14,3,2,2,4,2,8,0,9,21,1,6,3,6,10,8,6,2,3,3,5,1,31,7,2,6,8,4,38,7,11,1,8,3,22,3,4,3,7,4,3,3,7,5,1,3,3,19,0,3,15,3,5,16,8,5,4,5,11,5,3,7,7,21,3,14,9,10,7,10,2,2,2,3,4,9,15,8,1,3,4,3,15,13,10,2,5,1,7,26,7,7,15,13,10,19,2,18,5,4,7,17,26,5,38,10,6,3,9,4,3,6,6,1,6,6,36,10,8,7,12,11,9,7,21,9,16,10,10,12,5,13,8,1,9,7,4,6,3,5,2,9,8,10,5,6,2,5,7
6,17,2,2,4,4,5,11,0,11,9,1,6,3,5,9,11,4,2,2,4,5,3,21,7,1,7,9,4,25,9,10,3,14,2,25,0,6,3,7,6,3,4,8,9,0,3,2,16,1,3,9,3,9,17,11,6,6,5,6,6,3,6,7,17,1,10,11,13,4,16,2,2,3,2,5,9,14,8,1,3,1,3,10,11,6,2,3,1,3,16,6,5,11,15,7,28,2,13,4,5,6,13,17,2,23,12,5,5,9,4,4,8,6,1,5,7,24,7,8,5,13,10,8,8,15,8,15,10,13,14,6,11,6,2,7,4,4,6,2,7,1,6,9,10,3,4,3,4,9
6,16,2,2,5,3,7,12,0,12,7,0,8,4,3,13,14,4,1,2,6,8,1,17,5,1,7,11,5,28,11,8,3,14,2,25,4,8,3,7,5,3,4,14,6,1,3,2,10,1,1,8,2,7,16,15,8,3,5,7,5,4,8,7,21,3,9,12,9,5,12,2,3,3,3,3,12,10,8,2,3,0,4,10,10,7,2,5,2,1,19,4,6,11,17,8,27,3,10,5,4,5,13,26,4,18,17,7,4,8,4,3,8,7,1,5,5,16,8,4,5,13,9,8,10,11,8,14,11,8,14,7,10,5,4,8,6,4,7,1,8,2,6,4,11,3,5,3,2,13
9,17,2,1,4,4,8,15,0,12,8,0,9,5,5,13,13,7,1,2,6,10,3,11,5,2,5,11,7,30,13,8,5,13,1,25,4,5,4,7,5,3,5,10,8,0,2,3,10,0,4,6,3,9,18,9,8,4,5,7,5,5,6,9,24,2,11,12,8,4,11,4,3,3,3,4,13,8,8,2,3,1,2,10,5,8,3,6,2,3,17,2,5,11,18,13,18,3,9,4,5,5,16,28,4,23,15,8,4,7,5,5,6,6,1,3,4,15,8,4,5,14,7,9,9,13,8,12,12,8,16,7,10,4,3,6,6,4,7,2,8,2,4,5,11,4,5,2,3,10
7,19,3,2,6,4,7,19,0,9,9,1,8,5,4,13,12,5,1,3,8,14,3,10,5,1,3,10,7,30,12,11,6,12,3,25,2,6,2,6,7,2,5,10,6,0,1,2,10,1,3,6,4,13,21,12,9,3,4,6,8,4,11,8,20,3,8,14,7,3,9,2,2,4,4,3,11,7,7,3,3,2,4,11,7,5,3,3,0,3,17,4,6,12,28,10,11,7,8,4,6,5,19,18,4,21,19,11,5,12,2,3,7,7,1,4,5,14,9,4,7,13,7,7,9,7,11,13,13,10,11,10,10,4,4,9,5,4,7,4,7,2,7,5,12,5,3,1,4,13
4,15,1,2,7,4,6,14,0,11,7,1,5,4,4,7,10,6,2,2,10,11,2,8,6,1,6,11,7,24,8,8,6,13,1,15,4,6,4,6,10,3,5,9,6,1,2,3,9,2,3,7,5,9,21,11,8,2,3,5,5,5,7,10,18,2,9,9,8,5,10,2,2,3,2,5,9,8,6,3,3,2,2,9,8,5,2,3,1,3,17,3,5,7,23,10,18,4,5,3,4,5,10,18,3,21,17,6,6,9,0,2,6,6,1,3,3,19,8,4,7,9,7,8,6,10,12,14,11,10,9,8,9,4,3,7,4,2,8,4,7,2,7,5,11,4,2,2,5,8
4,12,2,2,5,5,5,14,0,13,8,1,8,4,3,7,9,4,2,2,12,13,3,10,6,3,7,11,5,19,5,7,5,10,4,18,4,8,2,5,8,3,3,10,9,1,1,3,12,2,2,11,3,6,23,14,7,2,3,5,5,5,7,13,21,4,9,8,6,3,7,3,2,3,2,3,11,6,8,2,3,2,5,8,7,9,2,3,1,4,21,3,4,5,21,9,17,5,10,3,5,4,10,19,3,25,20,6,4,5,3,2,6,5,1,4,6,15,7,7,3,6,7,6,5,11,10,15,8,10,15,7,10,5,4,8,5,2,8,2,8,1,6,5,10,4,3,1,5,8
4,12,3,1,4,6,5,14,0,10,9,3,8,4,4,7,11,4,2,2,12,12,3,7,5,1,6,9,8,25,9,6,3,12,3,20,3,13,3,7,11,4,5,9,8,1,3,3,11,1,3,13,3,6,20,13,9,2,4,4,6,4,7,10,23,3,8,11,7,4,7,1,1,3,3,6,10,7,8,2,4,3,3,10,7,9,2,2,1,1,20,4,3,11,24,13,16,3,11,2,5,5,10,19,4,21,25,8,5,6,2,3,6,7,2,2,6,18,9,5,6,8,7,7,3,14,9,12,9,10,15,10,10,5,4,9,4,4,4,2,8,2,9,5,13,3,4,2,6,9
4,15,4,1,4,5,5,15,0,8,10,2,7,4,2,7,11,3,1,1,15,15,7,10,8,2,5,10,10,29,9,8,4,13,4,18,6,8,5,7,13,6,3,12,7,0,2,3,10,2,3,10,3,6,26,15,6,2,5,4,9,5,13,5,23,2,9,10,7,6,10,3,1,3,2,4,13,7,6,3,2,2,3,19,9,8,3,5,1,5,25,3,7,9,22,10,11,6,9,3,4,7,15,20,5,25,23,8,5,5,1,3,7,8,3,4,6,19,8,8,4,11,9,7,6,20,13,15,12,10,15,11,13,6,4,10,6,3,7,1,11,1,6,6,13,4,5,1,4,14
